model,id,customTags,externalIds,name,uniqueID,externalID,trendID,siteID,connectorID,communication.protocol,communication.API.externalID,communication.BACnet.deviceID,communication.BACnet.objectType,communication.BACnet.objectID,communication.Modbus.dataType,communication.Modbus.registerAddress,communication.Modbus.swap,communication.Modbus.slaveID,communication.Modbus.endian,communication.Modbus.registerType,communication.Modbus.scale,communication.OPCDA.nodeID,communication.OPCUA.nodeID,communication.IoTHub.externalID,description,alternateClassification.projectHaystack,alternateClassification.brickSchema,lastValueTime,unit,validValues.minimum,validValues.maximum,interpolation,totalized,valueExpression,scaleFactor,type,categorizationProperties.HVACMode,categorizationProperties.alarm,categorizationProperties.assetComponent,categorizationProperties.demand,categorizationProperties.effective,categorizationProperties.electricalPhase,categorizationProperties.limit,categorizationProperties.occupancyMode,categorizationProperties.phenomenon,categorizationProperties.position,categorizationProperties.stage,phenomenon,position,assetComponent,hvacMode,stage,occupancyMode,electricalPhase,limit,effective,demand,alarm,tags,trendInterval,displayPriority,enabled,detected,analyticsEnabled
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-10-1-AC_10_1OVTSCHEDULE,,,Overtime Schedule Cmd,cc9a4dbf-2f71-4a17-8878-54bf4d39dc2d,#NAME?,318b403d-244e-4490-bcb8-65d0c3efcb17,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,overtime schedule cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""overtime"":true,""schedule"":true}",900,,True,,True
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-10-1-AC_10_1SCHEDULE,,,"On  Base Schedule ",f881d137-0096-4325-a182-7c5fe151d8f9,#NAME?,7d477f1b-fd3b-4b74-9b84-f54c3a0c3ed1,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,time schedule cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""schedule"":true,""time"":true}",900,,True,,True
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-11-1-AC_11_1DISABLEEXFLOWTRACK,,,Disable Exhaust Air Flow Tracking Cmd,0eab5c40-6cd6-446c-b48a-affec80c53b4,#NAME?,50e80234-596a-424d-a512-c85877bb6df4,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,exhaust air flow disable tracking cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""air"":true,""flow"":true,""cmd"":true,""exhaust"":true,""tracking"":true,""disable"":true}",900,,True,,False
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-11-1-AC_11_1EXAIRFLOWCTLCHOICE,,,Exhaust CVR Air Flow Tracking Mode,613de33d-cfbb-4da7-9344-74ce07bce251,#NAME?,7271150d-4ab7-47df-bce6-77753eb4dad7,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,exhaust air flow control cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""air"":true,""flow"":true,""cmd"":true,""control"":true,""exhaust"":true}",900,,True,,True
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-11-1-AC_11_1FAILMODE,,,Fan Fail Alarm Sensor,8f9c01a0-cd7b-4de1-8b2d-8bba6c34175b,#NAME?,32ac9a99-18b9-4999-b003-7ca467d63f30,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,fan fail action cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""fan"":true,""fail"":true,""action"":true}",900,,True,,False
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-11-1-AC_11_1OVTSCHEDULE,,,Overtime Schedule Cmd,1cce0145-13b5-4933-93a3-658c74c7a99d,#NAME?,f8267b8f-bf90-45bd-9314-b2fe8c7273e9,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,overtime schedule cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""overtime"":true,""schedule"":true}",900,,True,,True
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-11-1-AC_11_1SCHEDULE,,,"On  Base Schedule ",fbc29eee-5ec6-40e2-bd7b-3ca71e70ba5f,#NAME?,7fda788e-26a8-4beb-a700-e0d752105a04,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,time schedule cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""schedule"":true,""time"":true}",900,,True,,True
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-12-1-AC_12_1DISABLEEXFLOWTRACK,,,Disable Exhaust Air Flow Tracking Cmd,6a2c31e3-d90c-4326-a694-0d5c7de1f14c,#NAME?,b1055aea-6a6c-46c3-9c3b-041652168601,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,exhaust air flow disable tracking cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""air"":true,""flow"":true,""cmd"":true,""exhaust"":true,""tracking"":true,""disable"":true}",900,,True,,False
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-12-1-AC_12_1FAILMODE,,,Fan Fail Alarm Sensor,ff009794-24a4-44cf-b9e7-cb2db0c7c91f,#NAME?,880c8506-ba3c-4b31-b68d-de9dc4ef4f1d,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,fan fail action cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""fan"":true,""fail"":true,""action"":true}",900,,True,,False
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-12-1-AC_12_1OVTSCHEDULE,,,Overtime Schedule Cmd,542db62c-e388-4945-98fb-c07d738b9246,#NAME?,3a37730e-c950-43f4-95ac-7873e010969a,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,overtime schedule cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""overtime"":true,""schedule"":true}",900,,True,,True
